timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_FF
2026-08-04T16:54:00.682280+00:00,170,True,8,024D041593FFFF,015B73A0117C00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.781572+00:00,170,True,8,02460415BBFFFF,015A73A0115400,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.880857+00:00,170,True,8,02430415C7FFFF,015873A0114800,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.980134+00:00,170,True,8,02480415B2FFFF,015773A0115D00,00090000000000,0515000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.079405+00:00,170,True,8,024D0415A4FFFF,015B73A0116B00,00090000000000,0495000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.178698+00:00,170,True,8,024C0415A5FFFF,015B73A0116A00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.277990+00:00,170,True,8,024A0415AAFFFF,015B73A0116500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.377260+00:00,170,True,8,02490415A2FFFF,015873A0116D00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.476548+00:00,170,True,8,02440415B0FFFF,015B73A0115F00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.575830+00:00,170,True,8,0245041599FFFF,015773A0117600,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.675116+00:00,170,True,8,024F04157FFFFF,015973A0119000,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.774391+00:00,170,True,8,0252041567FFFF,015D73A011A800,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.873681+00:00,170,True,8,0252041567FFFF,015D73A011A800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:01.972966+00:00,170,True,8,025404155CFFFF,015C73A011B300,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.072244+00:00,170,True,8,024D041598FFFF,015C73A0117700,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.171534+00:00,170,True,8,024404159BFFFF,015973A0117400,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.270813+00:00,170,True,8,024A041595FFFF,015573A0117A00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.370095+00:00,170,True,8,024F04158AFFFF,015B73A0118500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.469385+00:00,170,True,8,024B04159AFFFF,015B73A0117500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.568657+00:00,170,True,8,024A04158CFFFF,015973A0118300,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.667949+00:00,170,True,8,024D041586FFFF,015A73A0118900,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.767251+00:00,170,True,8,024D041581FFFF,015A73A0118E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.866540+00:00,170,True,8,024C041583FFFF,015B73A0118C00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:02.965853+00:00,170,True,8,024D041562FFFF,015873A011AD00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.065087+00:00,170,True,8,024F04155FFFFF,015973A011B000,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.164362+00:00,170,True,8,024D041569FFFF,015A73A011A600,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.263645+00:00,170,True,8,02470415A7FFFF,015873A0116800,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.362929+00:00,170,True,8,024204159CFFFF,015473A0117300,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.462261+00:00,170,True,8,024704158EFFFF,015273A0118100,00090000000000,0515000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.561497+00:00,170,True,8,025404155AFFFF,015673A011B500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.660790+00:00,170,True,8,0259041564FFFF,015C73A011AB00,00090000000000,0515000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.760103+00:00,170,True,8,025004157DFFFF,015C73A0119200,00090000000000,04AE000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.859404+00:00,170,True,8,02430415A6FFFF,015573A0116900,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:03.958654+00:00,170,True,8,02400415A6FFFF,015273A0116900,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.057915+00:00,170,True,8,024A04158AFFFF,015373A0118500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.157231+00:00,170,True,8,025704155BFFFF,015873A011B400,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.256546+00:00,170,True,8,0259041558FFFF,015C73A011B700,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.355769+00:00,170,True,8,0250041564FFFF,015C73A011AB00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.455070+00:00,170,True,8,024804157FFFFF,015673A0119000,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.554332+00:00,170,True,8,0247041587FFFF,015673A0118800,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.653617+00:00,170,True,8,02440415A7FFFF,015473A0116800,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.752919+00:00,170,True,8,024704158AFFFF,015473A0118500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.852228+00:00,170,True,8,024C04159DFFFF,015373A0117200,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:04.951470+00:00,170,True,8,024B04159EFFFF,015973A0117100,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:05.050761+00:00,170,True,8,02470415BEFFFF,015673A0115100,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:05.150102+00:00,170,True,8,02440415AFFFFF,015673A0116000,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:05.249324+00:00,170,True,8,02480415A4FFFF,015473A0116B00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:05.348613+00:00,170,True,8,024E041590FFFF,015973A0117F00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:05.447950+00:00,170,True,8,024F04158DFFFF,015973A0118200,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
